,model,audio,liwc,value,personality,linguistic,topic,trial,score,task
247,NaiveBayes,False,False,True,False,True,False,2,0.6357610691337294,auto_tag
248,NaiveBayes,False,False,True,False,True,False,3,0.632847640743655,auto_tag
249,NaiveBayes,False,False,True,False,True,False,4,0.6307354708242359,auto_tag
250,MLPClassifier,False,False,True,False,True,False,0,0.7426213152150895,auto_tag
251,MLPClassifier,False,False,True,False,True,False,1,0.7357593260002145,auto_tag
252,MLPClassifier,False,False,True,False,True,False,2,0.7388573336564008,auto_tag
253,MLPClassifier,False,False,True,False,True,False,3,0.7404756676790074,auto_tag
254,MLPClassifier,False,False,True,False,True,False,4,0.7395151188572947,auto_tag
255,LogisticRegression,False,False,True,False,False,True,0,0.7367848915917372,auto_tag
256,LogisticRegression,False,False,True,False,False,True,1,0.736989854355843,auto_tag
257,LogisticRegression,False,False,True,False,False,True,2,0.7348779750892824,auto_tag
258,LogisticRegression,False,False,True,False,False,True,3,0.7369085200995285,auto_tag
259,LogisticRegression,False,False,True,False,False,True,4,0.735765843794221,auto_tag
260,NaiveBayes,False,False,True,False,False,True,0,0.6404376061822017,auto_tag
261,NaiveBayes,False,False,True,False,False,True,1,0.5725414683909836,auto_tag
262,NaiveBayes,False,False,True,False,False,True,2,0.601869605978723,auto_tag
263,NaiveBayes,False,False,True,False,False,True,3,0.5960371583326055,auto_tag
264,NaiveBayes,False,False,True,False,False,True,4,0.6078390276247123,auto_tag
265,MLPClassifier,False,False,True,False,False,True,0,0.7409022741324389,auto_tag
266,MLPClassifier,False,False,True,False,False,True,1,0.7370506630734199,auto_tag
267,MLPClassifier,False,False,True,False,False,True,2,0.7368120533382784,auto_tag
268,MLPClassifier,False,False,True,False,False,True,3,0.7352595265455711,auto_tag
269,MLPClassifier,False,False,True,False,False,True,4,0.7358386944664688,auto_tag
270,LogisticRegression,False,False,False,True,True,False,0,0.7170113877279377,auto_tag
271,LogisticRegression,False,False,False,True,True,False,1,0.7168494931290159,auto_tag
272,LogisticRegression,False,False,False,True,True,False,2,0.7165813838469515,auto_tag
273,LogisticRegression,False,False,False,True,True,False,3,0.7151679239558442,auto_tag
274,LogisticRegression,False,False,False,True,True,False,4,0.7174515870361873,auto_tag
275,NaiveBayes,False,False,False,True,True,False,0,0.6361420657860967,auto_tag
276,NaiveBayes,False,False,False,True,True,False,1,0.6404266714464245,auto_tag
277,NaiveBayes,False,False,False,True,True,False,2,0.6390023657853762,auto_tag
278,NaiveBayes,False,False,False,True,True,False,3,0.6413449127496405,auto_tag
279,NaiveBayes,False,False,False,True,True,False,4,0.6377279958691313,auto_tag
280,MLPClassifier,False,False,False,True,True,False,0,0.7202755260545259,auto_tag
281,MLPClassifier,False,False,False,True,True,False,1,0.7253300508817818,auto_tag
282,MLPClassifier,False,False,False,True,True,False,2,0.7249605525832329,auto_tag
283,MLPClassifier,False,False,False,True,True,False,3,0.7252870213809366,auto_tag
284,MLPClassifier,False,False,False,True,True,False,4,0.726605438653882,auto_tag
285,LogisticRegression,False,False,False,True,False,True,0,0.7267109971071596,auto_tag
286,LogisticRegression,False,False,False,True,False,True,1,0.728214018084842,auto_tag
287,LogisticRegression,False,False,False,True,False,True,2,0.7258368499137066,auto_tag
288,LogisticRegression,False,False,False,True,False,True,3,0.7275137313768769,auto_tag
289,LogisticRegression,False,False,False,True,False,True,4,0.7251233132005646,auto_tag
290,NaiveBayes,False,False,False,True,False,True,0,0.5892237348636988,auto_tag
291,NaiveBayes,False,False,False,True,False,True,1,0.5894528358821705,auto_tag
292,NaiveBayes,False,False,False,True,False,True,2,0.5934780650760711,auto_tag
293,NaiveBayes,False,False,False,True,False,True,3,0.6653173527204537,auto_tag
294,NaiveBayes,False,False,False,True,False,True,4,0.588865089305452,auto_tag
295,MLPClassifier,False,False,False,True,False,True,0,0.7307088320354919,auto_tag
296,MLPClassifier,False,False,False,True,False,True,1,0.7292352696206702,auto_tag
297,MLPClassifier,False,False,False,True,False,True,2,0.7307222299278229,auto_tag
298,MLPClassifier,False,False,False,True,False,True,3,0.73088455175905,auto_tag
299,MLPClassifier,False,False,False,True,False,True,4,0.7292438030583479,auto_tag
300,LogisticRegression,False,False,False,False,True,True,0,0.7259972735016413,auto_tag
301,LogisticRegression,False,False,False,False,True,True,1,0.7257858405191493,auto_tag
302,LogisticRegression,False,False,False,False,True,True,2,0.7284706732103027,auto_tag
303,LogisticRegression,False,False,False,False,True,True,3,0.7259831723854535,auto_tag
304,LogisticRegression,False,False,False,False,True,True,4,0.7274189001536995,auto_tag
305,NaiveBayes,False,False,False,False,True,True,0,0.6039315509538552,auto_tag
306,NaiveBayes,False,False,False,False,True,True,1,0.6053761802548189,auto_tag
307,NaiveBayes,False,False,False,False,True,True,2,0.6032686876236063,auto_tag
308,NaiveBayes,False,False,False,False,True,True,3,0.6056929860340764,auto_tag
309,NaiveBayes,False,False,False,False,True,True,4,0.6819131722741897,auto_tag
310,MLPClassifier,False,False,False,False,True,True,0,0.7301710494255337,auto_tag
311,MLPClassifier,False,False,False,False,True,True,1,0.7281990981809686,auto_tag
312,MLPClassifier,False,False,False,False,True,True,2,0.7321360663350024,auto_tag
313,MLPClassifier,False,False,False,False,True,True,3,0.7330639490094424,auto_tag
314,MLPClassifier,False,False,False,False,True,True,4,0.7314295443355302,auto_tag
315,LogisticRegression,True,True,True,False,False,False,0,0.8005905875586568,auto_tag
316,LogisticRegression,True,True,True,False,False,False,1,0.8023091330046603,auto_tag
317,LogisticRegression,True,True,True,False,False,False,2,0.8015672517168763,auto_tag
318,LogisticRegression,True,True,True,False,False,False,3,0.8032973548947837,auto_tag
319,LogisticRegression,True,True,True,False,False,False,4,0.8005269904744656,auto_tag
320,NaiveBayes,True,True,True,False,False,False,0,0.6786263519997972,auto_tag
321,NaiveBayes,True,True,True,False,False,False,1,0.679955392209914,auto_tag
322,NaiveBayes,True,True,True,False,False,False,2,0.6775532882281132,auto_tag
323,NaiveBayes,True,True,True,False,False,False,3,0.6723432377836159,auto_tag
324,NaiveBayes,True,True,True,False,False,False,4,0.6733374061382031,auto_tag
325,MLPClassifier,True,True,True,False,False,False,0,0.8096953039237265,auto_tag
326,MLPClassifier,True,True,True,False,False,False,1,0.8113428384028779,auto_tag
327,MLPClassifier,True,True,True,False,False,False,2,0.8111551803094458,auto_tag
328,MLPClassifier,True,True,True,False,False,False,3,0.8107222200887935,auto_tag
329,MLPClassifier,True,True,True,False,False,False,4,0.8112078899261231,auto_tag
330,LogisticRegression,True,True,False,True,False,False,0,0.7969134342009363,auto_tag
331,LogisticRegression,True,True,False,True,False,False,1,0.7983374845512242,auto_tag
332,LogisticRegression,True,True,False,True,False,False,2,0.7958484889715011,auto_tag
333,LogisticRegression,True,True,False,True,False,False,3,0.798097073819576,auto_tag
334,LogisticRegression,True,True,False,True,False,False,4,0.7984276032860027,auto_tag
335,NaiveBayes,True,True,False,True,False,False,0,0.6694602514708144,auto_tag
336,NaiveBayes,True,True,False,True,False,False,1,0.6637198465085666,auto_tag
337,NaiveBayes,True,True,False,True,False,False,2,0.6680165762655775,auto_tag
338,NaiveBayes,True,True,False,True,False,False,3,0.6683850359487127,auto_tag
339,NaiveBayes,True,True,False,True,False,False,4,0.6633827996248558,auto_tag
340,MLPClassifier,True,True,False,True,False,False,0,0.8074459664061614,auto_tag
341,MLPClassifier,True,True,False,True,False,False,1,0.8076365702358628,auto_tag
342,MLPClassifier,True,True,False,True,False,False,2,0.8078774386629051,auto_tag
343,MLPClassifier,True,True,False,True,False,False,3,0.8095192805819122,auto_tag
344,MLPClassifier,True,True,False,True,False,False,4,0.8087163795066656,auto_tag
345,LogisticRegression,True,True,False,False,True,False,0,0.7964784560250495,auto_tag
346,LogisticRegression,True,True,False,False,True,False,1,0.7982277674675473,auto_tag
347,LogisticRegression,True,True,False,False,True,False,2,0.7985082018118126,auto_tag
348,LogisticRegression,True,True,False,False,True,False,3,0.7995517442892484,auto_tag
349,LogisticRegression,True,True,False,False,True,False,4,0.7971702315543704,auto_tag
350,NaiveBayes,True,True,False,False,True,False,0,0.6611218363376008,auto_tag
351,NaiveBayes,True,True,False,False,True,False,1,0.6716344506853618,auto_tag
352,NaiveBayes,True,True,False,False,True,False,2,0.6698577103766958,auto_tag
353,NaiveBayes,True,True,False,False,True,False,3,0.6682025510584235,auto_tag
354,NaiveBayes,True,True,False,False,True,False,4,0.6705893868175216,auto_tag
355,MLPClassifier,True,True,False,False,True,False,0,0.805588175451626,auto_tag
